,arima,lstm,mlp,rf,svr,xgboost
decreasing,1.8532453897552248,0.2417411169341853,0.0467674991535433,0.6361403484856433,1.0135128153493227,1.0006614097603472
increasing,1.3869475115647911,0.6397677920694105,0.6992888153080552,1.340928965701287,1.0956771072979143,121.9797618939852
periodic,11.795123717579528,0.2497292634089391,0.233741995355851,0.2832828678861898,0.8460495986062869,2.059573475791372
random,6.9353421441546015,1.0007570840012237,0.1057342227607149,0.0550062081583326,1.0107777923297991,1.0006823035414478
