,arima,lstm,mlp,rf,svr,xgboost
decreasing,0.0424046226756158,0.012792789479749,0.0010733303468388,0.0316760351462497,0.1368478242747973,0.0713008727612053
increasing,0.0128253373949682,0.0184976959751583,0.0044171065166665,0.0040681132291484,0.0047492280843769,0.0156881275431675
periodic,0.0582042330455532,0.0019798400401481,0.0017621942718002,0.0014919273216083,0.0030187177785441,0.0349845680240918
random,0.0153440368762261,0.0048139869543506,0.0017494636039389,0.0016603052596975,0.0018306618319622,0.0183942793426546
