,arima,lstm,mlp,rf,svr,xgboost
decreasing,65.2263245802186,46.29581255222416,19.63710533193764,58.80338902472286,90.957903012069,78.18482920301194
increasing,14.048895485404698,20.371072920797936,7.948449424008948,7.550735877242818,8.102320324210945,18.124713003937977
periodic,69.1582566783767,23.370603408748163,16.93385676970771,14.253330481403609,30.47924792167044,54.93900385661791
random,29.34998341712333,18.51115571000629,10.174130204346826,9.866865872491532,10.18598329089492,32.852768524629724
