,10,20,30,40,50,60
arima,0.0974431662739432,0.0974431662739432,0.0974431662739432,0.0974431662739432,0.0974431662739432,0.0974431662739432
lstm,0.0157674585997523,0.0092751505239895,0.0038691366988141,0.021071036408905,0.0123003953335776,0.0243750952833595
mlp,0.00266614514369,0.0034688814106474,0.0040453876732054,0.0067652531322241,0.0053156353293014,0.004947629707319
rf,0.5810786444794512,0.5818713579480671,0.5806007736842571,0.5806852933729951,0.5811071434487475,0.5808098886180971
svr,0.0017637894965221,0.0040443103260167,0.0017858045386073,0.0020904552537297,0.0055689284869873,0.0056027713375102
xgboost,0.548382244565344,0.5481593827985288,0.5513036470197202,0.5462118010304929,0.5467963735841276,0.5444781105302335
