,10,20,30,40,50,60
arima,1305602.3180244688,1305602.3180244688,1305602.3180244688,1305602.3180244688,1305602.3180244688,1305602.3180244688
lstm,7541.642149857959,8456.84913169171,13260.86907831838,6772.5447669822215,8190.729655032025,4622.906265280279
mlp,8930.337578044391,8044.048104972725,7429.819532834006,5921.728717762748,5655.895085246287,4835.770788810128
rf,7273.921604833093,6770.153708790025,6141.843400394992,6119.132588271199,6234.585150739482,5891.694903762633
svr,6927.2778793556445,7348.155627348319,7812.906075967923,6705.936002250326,6255.679648199395,6223.375104049158
xgboost,9648.299884606404,8947.323744721778,7618.26623417317,7948.503367130731,7374.142244655567,6224.010096205418
