,10,20,30,40,50,60
arima,0.0631988240938068,0.0631988240938068,0.0631988240938068,0.0631988240938068,0.0631988240938068,0.0631988240938068
lstm,0.0124747530419529,0.0105166732519772,0.0114853039444387,0.0102415883417242,0.0089328939590424,0.0157499437230365
mlp,0.0045408028837488,0.006502516798093,0.0058244994334273,0.0058051935514337,0.0071251367105878,0.0073559041331146
rf,0.0066494856226416,0.0063654566325772,0.0063677063945852,0.0061932221174043,0.0070409232291746,0.0071320398089794
svr,0.0037564172474584,0.003427618466291,0.0038632547794889,0.0036159733307052,0.0041691286460973,0.003717847629935
xgboost,0.0072629937716633,0.0069175569166348,0.007340728739875,0.0074662290585499,0.0073154343009717,0.0076896732776737
