,10,20,30,40,50,60
arima,115.18281184567458,115.18281184567458,115.18281184567458,115.18281184567458,115.18281184567458,115.18281184567458
lstm,6.468531334367127,6.815438343374092,6.691396903102154,6.935394038150319,6.03518967261073,6.771216664430408
mlp,4.622184559289664,4.669234291579935,4.744558672704429,4.661993917657801,4.695923854852527,4.761602802268099
rf,4.652030635702441,4.656142054737215,4.7054975035132784,4.702190820078768,4.719259647050713,4.716478673088155
svr,4.285729292359944,4.373675530148727,4.529805464703055,4.554851468898277,4.58574737403049,4.60189706489698
xgboost,4.864914936220818,4.930665114268784,5.037861376879056,5.199380869540555,5.309393391399662,5.301305420273555
