,10,20,30,40,50,60
arima,0.9327590418377024,0.9327590418377024,0.9327590418377024,0.9327590418377024,0.9327590418377024,0.9327590418377024
lstm,0.0766763810836009,0.0891756803397346,0.1047956030089409,0.0958955653065182,0.0755505915799485,0.1003972179307242
mlp,0.0521221810809673,0.0531646880293609,0.0535383400226738,0.0514947544474206,0.0529761612440792,0.053163949998832
rf,0.0494812413321539,0.0502390812006998,0.0516111622990167,0.0514965800640235,0.0520778580343792,0.0523673271833713
svr,0.0466442580968996,0.0475082179165466,0.0511473052306309,0.0513234879872769,0.051185124142789,0.0519377612634111
xgboost,0.0578853538191705,0.0577669996128419,0.0594044463947603,0.0612390934977129,0.0633894147845728,0.0621439703257649
