,10,20,30,40,50,60
arima,0.0105471420752749,0.0105471420752749,0.0105471420752749,0.0105471420752749,0.0105471420752749,0.0105471420752749
lstm,0.1215648202081892,0.0142838827924049,0.034095999314544,0.0644781991653966,0.0403182177471428,0.002127862121273
mlp,0.0054341508223493,0.0052387363414097,0.0028220793484288,0.0031417643798045,0.004471211625718,0.0040537076079486
rf,0.0207141161555314,0.0207246509097205,0.020599854897623,0.0207209376342058,0.020596451876323,0.0205579310429622
svr,0.079126869241324,0.0792113340571667,0.0790159272056866,0.0788015530394122,0.0785767270574611,0.0783117450406125
xgboost,0.0052980709856854,0.0052980709856854,0.0052980709856854,0.0052980709856854,0.0052980709856854,0.0052984605869258
