,10,20,30,40,50,60
arima,0.0058592048903158,0.0058592048903158,0.0058592048903158,0.0058592048903158,0.0058592048903158,0.0058592048903158
lstm,0.0013303581962208,0.001216210743002,0.0012751838108871,0.0013271617710609,0.0012291925778979,0.0013240241148608
mlp,0.0012700827094624,0.0011989943795039,0.001209628317284,0.001241521649474,0.0012558792988485,0.0012512987815911
rf,0.0133327085565448,0.0124567453544574,0.0120357195283566,0.0121157018365769,0.01297926798201,0.0108228173853409
svr,0.0012401319628521,0.0012144637497487,0.0012112086212862,0.0012428158451299,0.0012581005996198,0.0012595365980385
xgboost,0.01883294566705,0.0194771530554406,0.0190636328466734,0.0188531925504566,0.0195581251687885,0.0203090617865549
