Time,frontend
2020-08-06 17:48:00,94674944
2020-08-06 17:49:00,94273536
2020-08-06 17:50:00,94408704
2020-08-06 17:51:00,94687232
2020-08-06 17:52:00,94429184
2020-08-06 17:53:00,94273536
2020-08-06 17:54:00,94072832
2020-08-06 17:55:00,94085120
2020-08-06 17:56:00,94035968
2020-08-06 17:57:00,94171136
2020-08-06 17:58:00,94191616
2020-08-06 17:59:00,94232576
2020-08-06 18:00:00,94130176
2020-08-06 18:01:00,95084544
2020-08-06 18:02:00,95129600
2020-08-06 18:03:00,95170560
2020-08-06 18:04:00,95330304
2020-08-06 18:05:00,95236096
2020-08-06 18:06:00,95244288
2020-08-06 18:07:00,95420416
2020-08-06 18:08:00,95522816
2020-08-06 18:09:00,95563776
2020-08-06 18:10:00,95559680
2020-08-06 18:11:00,95600640
2020-08-06 18:12:00,95592448
2020-08-06 18:13:00,95485952
2020-08-06 18:14:00,95600640
2020-08-06 18:15:00,95604736
2020-08-06 18:16:00,95555584
2020-08-06 18:17:00,95440896
2020-08-06 18:18:00,95338496
2020-08-06 18:19:00,95461376
2020-08-06 18:20:00,95330304
2020-08-06 18:21:00,95203328
2020-08-06 18:22:00,95203328
2020-08-06 18:23:00,95203328
2020-08-06 18:24:00,95342592
2020-08-06 18:25:00,95223808
2020-08-06 18:26:00,95371264
2020-08-06 18:27:00,95379456
2020-08-06 18:28:00,95612928
2020-08-06 18:29:00,95371264
2020-08-06 18:30:00,95760384
2020-08-06 18:31:00,95514624
2020-08-06 18:32:00,95514624
2020-08-06 18:33:00,95518720
2020-08-06 18:34:00,95375360
2020-08-06 18:35:00,95395840
2020-08-06 18:36:00,95494144
2020-08-06 18:37:00,95490048
2020-08-06 18:38:00,95485952
2020-08-06 18:39:00,95358976
2020-08-06 18:40:00,95252480
2020-08-06 18:41:00,95531008
2020-08-06 18:42:00,95399936
2020-08-06 18:43:00,95563776
2020-08-06 18:44:00,95543296
2020-08-06 18:45:00,95674368
2020-08-06 18:46:00,95551488
2020-08-06 18:47:00,95641600
2020-08-06 18:48:00,95514624
2020-08-06 18:49:00,95518720
2020-08-06 18:50:00,95461376
2020-08-06 18:51:00,95588352
2020-08-06 18:52:00,95453184
2020-08-06 18:53:00,95453184
2020-08-06 18:54:00,95604736
2020-08-06 18:55:00,95608832
2020-08-06 18:56:00,95752192
2020-08-06 18:57:00,95625216
2020-08-06 18:58:00,95633408
2020-08-06 18:59:00,95879168
2020-08-06 19:00:00,95768576
2020-08-06 19:01:00,95641600
2020-08-06 19:02:00,95555584
2020-08-06 19:03:00,95555584
2020-08-06 19:04:00,95666176
2020-08-06 19:05:00,95645696
2020-08-06 19:06:00,95707136
2020-08-06 19:07:00,95584256
2020-08-06 19:08:00,95457280
2020-08-06 19:09:00,95436800
2020-08-06 19:10:00,95563776
2020-08-06 19:11:00,95686656
2020-08-06 19:12:00,95563776
2020-08-06 19:13:00,95457280
2020-08-06 19:14:00,95580160
2020-08-06 19:15:00,95449088
2020-08-06 19:16:00,95752192
2020-08-06 19:17:00,95653888
2020-08-06 19:18:00,95662080
2020-08-06 19:19:00,95801344
2020-08-06 19:20:00,95830016
2020-08-06 19:21:00,95797248
2020-08-06 19:22:00,95502336
2020-08-06 19:23:00,95600640
2020-08-06 19:24:00,95604736
2020-08-06 19:25:00,95600640
2020-08-06 19:26:00,95481856
2020-08-06 19:27:00,95485952
2020-08-06 19:28:00,95485952
2020-08-06 19:29:00,95518720
2020-08-06 19:30:00,95490048
2020-08-06 19:31:00,95490048
2020-08-06 19:32:00,95633408
2020-08-06 19:33:00,95506432
2020-08-06 19:34:00,95584256
2020-08-06 19:35:00,95322112
2020-08-06 19:36:00,95322112
2020-08-06 19:37:00,95322112
2020-08-06 19:38:00,95330304
2020-08-06 19:39:00,95363072
2020-08-06 19:40:00,95580160
2020-08-06 19:41:00,95432704
2020-08-06 19:42:00,95690752
2020-08-06 19:43:00,95588352
2020-08-06 19:44:00,95465472
2020-08-06 19:45:00,95440896
2020-08-06 19:46:00,95563776
2020-08-06 19:47:00,95444992
2020-08-06 19:48:00,95584256
2020-08-06 19:49:00,95588352
2020-08-06 19:50:00,95473664
2020-08-06 19:51:00,95477760
2020-08-06 19:52:00,95477760
2020-08-06 19:53:00,95862784
2020-08-06 19:54:00,95608832
2020-08-06 19:55:00,95735808
2020-08-06 19:56:00,95768576
2020-08-06 19:57:00,95817728
2020-08-06 19:58:00,95813632
2020-08-06 19:59:00,95817728
2020-08-06 20:00:00,95866880
2020-08-06 20:01:00,96178176
2020-08-06 20:02:00,96153600
2020-08-06 20:03:00,96280576
2020-08-06 20:04:00,96399360
2020-08-06 20:05:00,96116736
2020-08-06 20:06:00,96116736
2020-08-06 20:07:00,96235520
2020-08-06 20:08:00,96108544
2020-08-06 20:09:00,96108544
2020-08-06 20:10:00,96116736
2020-08-06 20:11:00,96256000
2020-08-06 20:12:00,96124928
2020-08-06 20:13:00,96256000
2020-08-06 20:14:00,96108544
2020-08-06 20:15:00,96239616
2020-08-06 20:16:00,96116736
2020-08-06 20:17:00,96366592
2020-08-06 20:18:00,96116736
2020-08-06 20:19:00,96116736
2020-08-06 20:20:00,96116736
2020-08-06 20:21:00,96120832
2020-08-06 20:22:00,96247808
2020-08-06 20:23:00,96227328
2020-08-06 20:24:00,95965184
2020-08-06 20:25:00,95965184
2020-08-06 20:26:00,96092160
2020-08-06 20:27:00,95965184
2020-08-06 20:28:00,95965184
2020-08-06 20:29:00,95965184
2020-08-06 20:30:00,95965184
2020-08-06 20:31:00,95969280
2020-08-06 20:32:00,96104448
2020-08-06 20:33:00,95977472
2020-08-06 20:34:00,95977472
2020-08-06 20:35:00,95846400
2020-08-06 20:36:00,95846400
2020-08-06 20:37:00,95838208
2020-08-06 20:38:00,95813632
2020-08-06 20:39:00,95776768
2020-08-06 20:40:00,95981568
2020-08-06 20:41:00,95883264
2020-08-06 20:42:00,96088064
2020-08-06 20:43:00,95838208
2020-08-06 20:44:00,95776768
2020-08-06 20:45:00,95756288
2020-08-06 20:46:00,95756288
2020-08-06 20:47:00,95756288
2020-08-06 20:48:00,95756288
2020-08-06 20:49:00,95825920
2020-08-06 20:50:00,95842304
2020-08-06 20:51:00,95690752
2020-08-06 20:52:00,95662080
2020-08-06 20:53:00,95670272
2020-08-06 20:54:00,95682560
2020-08-06 20:55:00,95645696
2020-08-06 20:56:00,95653888
2020-08-06 20:57:00,95641600
2020-08-06 20:58:00,95641600
2020-08-06 20:59:00,95768576
2020-08-06 21:00:00,95641600
2020-08-06 21:01:00,95551488
2020-08-06 21:02:00,95641600
2020-08-06 21:03:00,95633408
2020-08-06 21:04:00,95633408
2020-08-06 21:05:00,95604736
2020-08-06 21:06:00,95580160
2020-08-06 21:07:00,95580160
2020-08-06 21:08:00,95576064
2020-08-06 21:09:00,95584256
2020-08-06 21:10:00,95584256
2020-08-06 21:11:00,95567872
2020-08-06 21:12:00,95584256
2020-08-06 21:13:00,95592448
2020-08-06 21:14:00,95604736
2020-08-06 21:15:00,95805440
2020-08-06 21:16:00,95674368
2020-08-06 21:17:00,95793152
2020-08-06 21:18:00,95793152
2020-08-06 21:19:00,95789056
2020-08-06 21:20:00,95784960
2020-08-06 21:21:00,95784960
2020-08-06 21:22:00,95469568
2020-08-06 21:23:00,95608832
2020-08-06 21:24:00,95633408
2020-08-06 21:25:00,95604736
2020-08-06 21:26:00,95547392
2020-08-06 21:27:00,95617024
2020-08-06 21:28:00,95494144
2020-08-06 21:29:00,95498240
2020-08-06 21:30:00,95408128
2020-08-06 21:31:00,95408128
2020-08-06 21:32:00,95277056
2020-08-06 21:33:00,95326208
2020-08-06 21:34:00,95326208
2020-08-06 21:35:00,95461376
2020-08-06 21:36:00,95457280
2020-08-06 21:37:00,95334400
2020-08-06 21:38:00,95334400
2020-08-06 21:39:00,95588352
2020-08-06 21:40:00,95379456
2020-08-06 21:41:00,95424512
2020-08-06 21:42:00,95440896
2020-08-06 21:43:00,95465472
2020-08-06 21:44:00,95498240
2020-08-06 21:45:00,95399936
2020-08-06 21:46:00,95387648
2020-08-06 21:47:00,95395840
2020-08-06 21:48:00,95535104
2020-08-06 21:49:00,95637504
2020-08-06 21:50:00,95600640
2020-08-06 21:51:00,95739904
2020-08-06 21:52:00,96141312
2020-08-06 21:53:00,96378880
2020-08-06 21:54:00,96264192
2020-08-06 21:55:00,96174080
2020-08-06 21:56:00,96157696
2020-08-06 21:57:00,96182272
2020-08-06 21:58:00,96247808
2020-08-06 21:59:00,96378880
2020-08-06 22:00:00,96235520
2020-08-06 22:01:00,96813056
2020-08-06 22:02:00,96641024
2020-08-06 22:03:00,96641024
2020-08-06 22:04:00,96641024
2020-08-06 22:05:00,96665600
2020-08-06 22:06:00,96792576
2020-08-06 22:07:00,96665600
2020-08-06 22:08:00,96854016
2020-08-06 22:09:00,96993280
2020-08-06 22:10:00,97132544
2020-08-06 22:11:00,97382400
2020-08-06 22:12:00,97030144
2020-08-06 22:13:00,97062912
2020-08-06 22:14:00,97046528
2020-08-06 22:15:00,97046528
2020-08-06 22:16:00,97054720
2020-08-06 22:17:00,97189888
2020-08-06 22:18:00,97079296
2020-08-06 22:19:00,97079296
2020-08-06 22:20:00,97210368
2020-08-06 22:21:00,97214464
2020-08-06 22:22:00,96956416
2020-08-06 22:23:00,96944128
2020-08-06 22:24:00,96968704
2020-08-06 22:25:00,97112064
2020-08-06 22:26:00,96980992
2020-08-06 22:27:00,96980992
2020-08-06 22:28:00,96964608
2020-08-06 22:29:00,96956416
2020-08-06 22:30:00,96956416
2020-08-06 22:31:00,97083392
2020-08-06 22:32:00,97071104
2020-08-06 22:33:00,97021952
2020-08-06 22:34:00,96894976
2020-08-06 22:35:00,97038336
2020-08-06 22:36:00,96919552
2020-08-06 22:37:00,96878592
2020-08-06 22:38:00,97030144
2020-08-06 22:39:00,96903168
2020-08-06 22:40:00,96821248
2020-08-06 22:41:00,96845824
2020-08-06 22:42:00,96956416
2020-08-06 22:43:00,96825344
2020-08-06 22:44:00,96821248
2020-08-06 22:45:00,96952320
2020-08-06 22:46:00,96808960
2020-08-06 22:47:00,96808960
2020-08-06 22:48:00,96808960
2020-08-06 22:49:00,96935936
2020-08-06 22:50:00,96808960
2020-08-06 22:51:00,96804864
2020-08-06 22:52:00,96804864
2020-08-06 22:53:00,96907264
2020-08-06 22:54:00,96784384
2020-08-06 22:55:00,96665600
2020-08-06 22:56:00,96722944
2020-08-06 22:57:00,96948224
2020-08-06 22:58:00,96952320
2020-08-06 22:59:00,96698368
2020-08-06 23:00:00,96817152
2020-08-06 23:01:00,96919552
2020-08-06 23:02:00,96788480
2020-08-06 23:03:00,97181696
2020-08-06 23:04:00,97128448
2020-08-06 23:05:00,97402880
2020-08-06 23:06:00,97234944
2020-08-06 23:07:00,97361920
2020-08-06 23:08:00,97406976
2020-08-06 23:09:00,97406976
2020-08-06 23:10:00,97374208
2020-08-06 23:11:00,97673216
2020-08-06 23:12:00,97689600
2020-08-06 23:13:00,97812480
2020-08-06 23:14:00,97488896
2020-08-06 23:15:00,97542144
2020-08-06 23:16:00,97349632
2020-08-06 23:17:00,97472512
2020-08-06 23:18:00,97398784
2020-08-06 23:19:00,97525760
2020-08-06 23:20:00,97517568
2020-08-06 23:21:00,97497088
2020-08-06 23:22:00,97361920
2020-08-06 23:23:00,97705984
2020-08-06 23:24:00,97452032
2020-08-06 23:25:00,97587200
2020-08-06 23:26:00,97460224
2020-08-06 23:27:00,97562624
2020-08-06 23:28:00,97570816
2020-08-06 23:29:00,97443840
2020-08-06 23:30:00,97386496
2020-08-06 23:31:00,97259520
2020-08-06 23:32:00,97214464
2020-08-06 23:33:00,97169408
2020-08-06 23:34:00,97169408
2020-08-06 23:35:00,97325056
2020-08-06 23:36:00,97140736
2020-08-06 23:37:00,97349632
2020-08-06 23:38:00,97300480
2020-08-06 23:39:00,97513472
2020-08-06 23:40:00,97509376
2020-08-06 23:41:00,97722368
2020-08-06 23:42:00,97345536
2020-08-06 23:43:00,97284096
2020-08-06 23:44:00,97300480
2020-08-06 23:45:00,97525760
2020-08-06 23:46:00,97275904
2020-08-06 23:47:00,97210368
2020-08-06 23:48:00,97337344
2020-08-06 23:49:00,97271808
2020-08-06 23:50:00,97333248
2020-08-06 23:51:00,97206272
2020-08-06 23:52:00,97288192
2020-08-06 23:53:00,97415168
2020-08-06 23:54:00,97218560
2020-08-06 23:55:00,97222656
2020-08-06 23:56:00,97345536
2020-08-06 23:57:00,97153024
2020-08-06 23:58:00,97132544
2020-08-06 23:59:00,97325056
2020-08-07 00:00:00,97198080
2020-08-07 00:01:00,97402880
2020-08-07 00:02:00,97562624
2020-08-07 00:03:00,97308672
2020-08-07 00:04:00,97411072
2020-08-07 00:05:00,97271808
2020-08-07 00:06:00,97271808
