Workload,arima,lstm,mlp,rf,svr,xgboost,static_mean_homogeneous,static_median_homogeneous,dynamic_homogeneous,dynamic_weighting_homogeneous,dynamic_weighting_with_selection_homogeneous,static_mean_heterogeneous,static_median_heterogeneous,dynamic_heterogeneous,dynamic_weighting_heterogeneous,dynamic_weighting_with_selection_heterogeneous
decreasing,0.1506923914552299,0.0201071221783774,0.0189486231467835,0.20581273067657,0.4349875886372086,0.289103540394018,0.0101990296834662,0.0122128420644106,0.0317615034889821,0.011659235650931,0.0125609950361181,0.1773199076606988,0.178260582365057,0.20581273067657,0.1749122978719862,0.1737858351730073
increasing,0.0813219487108424,0.1080712168218818,0.0369304242370206,0.0426235652388155,0.10079636504935,0.2538840702538724,0.0349489740544279,0.0349608906749326,0.0417889305612184,0.0353512554459569,0.0372575628555759,0.0756594865502669,0.0649403769992207,0.0426235652388155,0.0456263997023705,0.0453715532859015
periodic,1.0105839120625335,0.0452673057054066,0.0233681470082502,0.0206790551683697,0.0516203298684519,0.2371964788687055,0.0204935965936933,0.0204354392741984,0.0213333387868102,0.0205353312961472,0.020555224673376,0.1976994910445501,0.0340798904943933,0.0204887491941914,0.020742300712254,0.0207274393212972
random,0.1214881832730069,0.0320855870471468,0.021593128944224,0.0206790551683697,0.0270699061600011,0.1680800632293531,0.0194240225635481,0.019456726417963,0.0206796337308565,0.0195512957460238,0.0196248874423509,0.0439941686160202,0.0234891486771451,0.0196967635458931,0.019388696607783,0.0193842364144411
