Workload,arima,lstm,mlp,rf,svr,xgboost,static_mean_homogeneous,static_median_homogeneous,dynamic_homogeneous,dynamic_weighting_homogeneous,dynamic_weighting_with_selection_homogeneous,static_mean_heterogeneous,static_median_heterogeneous,dynamic_heterogeneous,dynamic_weighting_heterogeneous,dynamic_weighting_with_selection_heterogeneous
decreasing,65.2263245802186,46.29581255222416,19.63710533193764,58.80338902472286,90.957903012069,78.18482920301194,15.238300965369136,14.958608375796532,28.77027854466879,12.479342807774495,13.004451440148149,63.087522445893526,62.04607469172867,58.80338902472286,58.790188948443145,58.196600778263694
increasing,14.048895485404698,20.371072920797936,7.948449424008948,7.550735877242818,8.102320324210945,18.124713003937977,7.499535877502781,7.495863698152541,7.62262740217884,7.493924225410925,7.5119605101660785,8.145258028728698,7.690177359819068,7.479748511118643,7.470098894050259,7.434680537306357
periodic,69.1582566783767,23.370603408748163,16.93385676970771,14.253330481403609,30.47924792167044,54.93900385661791,14.27754697611082,14.26293462176466,14.486831148531088,14.248835182957952,14.29543790386496,39.45503858159535,27.349887306462307,14.385560730136593,14.290263006924086,14.2771791444815
random,29.34998341712333,18.51115571000629,10.174130204346826,9.866865872491532,10.18598329089492,32.852768524629724,9.745975738838856,9.740341693903884,9.958328918918095,9.760449652069456,9.772490716596025,15.261166335494243,12.361988926335169,9.866865872491532,9.833281108225592,9.842053017059294
