Time,microservice1
00:00:00,242.583333333333
00:01:00,241.333333333333
00:02:00,245.916666666667
00:03:00,247.583333333333
00:04:00,244.3
00:05:00,272.75
00:06:00,285.866666666667
00:07:00,264.266666666667
00:08:00,239.933333333333
00:09:00,232.683333333333
00:10:00,247.883333333333
00:11:00,267.5
00:12:00,242.7
00:13:00,229.15
00:14:00,220.233333333333
00:15:00,225.216666666667
00:16:00,226.883333333333
00:17:00,230.166666666667
00:18:00,228.15
00:19:00,221.466666666667
00:20:00,226.083333333333
00:21:00,221.4
00:22:00,215.95
00:23:00,220.933333333333
00:24:00,220.7
00:25:00,223.066666666667
00:26:00,221.5
00:27:00,218.766666666667
00:28:00,221.033333333333
00:29:00,217.383333333333
00:30:00,214.7
00:31:00,216.85
00:32:00,212.75
00:33:00,215.966666666667
00:34:00,217.35
00:35:00,219.9
00:36:00,216.233333333333
00:37:00,213.433333333333
00:38:00,216.433333333333
00:39:00,218.316666666667
00:40:00,219.133333333333
00:41:00,216.933333333333
00:42:00,216.116666666667
00:43:00,219.683333333333
00:44:00,221.4
00:45:00,214.066666666667
00:46:00,213.1
00:47:00,214.2
00:48:00,217.883333333333
00:49:00,213.966666666667
00:50:00,218.483333333333
00:51:00,218.166666666667
00:52:00,219.15
00:53:00,218.083333333333
00:54:00,223.516666666667
00:55:00,220.633333333333
00:56:00,223.633333333333
00:57:00,220.083333333333
00:58:00,219.933333333333
00:59:00,226.2
01:00:00,244.7
01:01:00,260.333333333333
01:02:00,253.55
01:03:00,238.366666666667
01:04:00,236.583333333333
01:05:00,239.6
01:06:00,235.45
01:07:00,237.733333333333
01:08:00,239.383333333333
01:09:00,240.683333333333
01:10:00,246.016666666667
01:11:00,237.766666666667
01:12:00,227.433333333333
01:13:00,236.1
01:14:00,225.666666666667
01:15:00,228.266666666667
01:16:00,230.7
01:17:00,227.716666666667
01:18:00,220.7
01:19:00,219.633333333333
01:20:00,220.9
01:21:00,221.066666666667
01:22:00,223.666666666667
01:23:00,221.35
01:24:00,219.483333333333
01:25:00,221.266666666667
01:26:00,222.733333333333
01:27:00,226.05
01:28:00,223.383333333333
01:29:00,225.5
01:30:00,232.75
01:31:00,221.716666666667
01:32:00,223.116666666667
01:33:00,220.933333333333
01:34:00,218.25
01:35:00,218.7
01:36:00,218.3
01:37:00,220.366666666667
01:38:00,224.2
01:39:00,220.283333333333
01:40:00,223.45
01:41:00,223.3
01:42:00,222.8
01:43:00,216.983333333333
01:44:00,222.983333333333
01:45:00,222.483333333333
01:46:00,221.166666666667
01:47:00,225.75
01:48:00,221.683333333333
01:49:00,220.733333333333
01:50:00,223.2
01:51:00,216.85
01:52:00,220.95
01:53:00,218.7
01:54:00,216.95
01:55:00,221.516666666667
01:56:00,220.583333333333
01:57:00,221.633333333333
01:58:00,223.883333333333
01:59:00,220.6
02:00:00,235.35
02:01:00,237.033333333333
02:02:00,230.616666666667
02:03:00,229.15
02:04:00,232.1
02:05:00,233.866666666667
02:06:00,233.65
02:07:00,230.25
02:08:00,226.05
02:09:00,226.183333333333
02:10:00,227.45
02:11:00,229.966666666667
02:12:00,228.733333333333
02:13:00,228.4
02:14:00,229.066666666667
02:15:00,231.35
02:16:00,225.633333333333
02:17:00,230.666666666667
02:18:00,226.85
02:19:00,228.916666666667
02:20:00,227.55
02:21:00,230.533333333333
02:22:00,230
02:23:00,230.783333333333
02:24:00,227.233333333333
02:25:00,228.966666666667
02:26:00,228.633333333333
02:27:00,229.316666666667
02:28:00,236.05
02:29:00,230.383333333333
02:30:00,235.95
02:31:00,235.433333333333
02:32:00,232.8
02:33:00,239.283333333333
02:34:00,234.233333333333
02:35:00,236.1
02:36:00,234.433333333333
02:37:00,228.716666666667
02:38:00,227.983333333333
02:39:00,227
02:40:00,225.966666666667
02:41:00,234.683333333333
02:42:00,229.283333333333
02:43:00,230.483333333333
02:44:00,227.233333333333
02:45:00,229.2
02:46:00,230.75
02:47:00,229.333333333333
02:48:00,234.65
02:49:00,237.966666666667
02:50:00,247.5
02:51:00,250.283333333333
02:52:00,246.65
02:53:00,248.85
02:54:00,240.366666666667
02:55:00,236.216666666667
02:56:00,242.933333333333
02:57:00,235.566666666667
02:58:00,235.666666666667
02:59:00,239.683333333333
03:00:00,250.533333333333
03:01:00,253.45
03:02:00,245.433333333333
03:03:00,246.766666666667
03:04:00,248.8
03:05:00,255.133333333333
03:06:00,251.75
03:07:00,254.433333333333
03:08:00,250.916666666667
03:09:00,251.666666666667
03:10:00,249.516666666667
03:11:00,240.866666666667
03:12:00,247.25
03:13:00,241.666666666667
03:14:00,238.166666666667
03:15:00,242.416666666667
03:16:00,247.5
03:17:00,246.216666666667
03:18:00,247.583333333333
03:19:00,246.083333333333
03:20:00,249.466666666667
03:21:00,241.233333333333
03:22:00,245.833333333333
03:23:00,245.933333333333
03:24:00,242.7
03:25:00,242.983333333333
03:26:00,241.216666666667
03:27:00,240.3
03:28:00,239.016666666667
03:29:00,240.833333333333
03:30:00,252.783333333333
03:31:00,242.616666666667
03:32:00,236.7
03:33:00,234.4
03:34:00,231.55
03:35:00,232
03:36:00,232.783333333333
03:37:00,230.633333333333
03:38:00,230.233333333333
03:39:00,230.75
03:40:00,250.2
03:41:00,244.333333333333
03:42:00,226.283333333333
03:43:00,230.633333333333
03:44:00,228.983333333333
03:45:00,230.05
03:46:00,228.883333333333
03:47:00,221.466666666667
03:48:00,226.55
