,arima,lstm,mlp,rf,svr,xgboost
decreasing,0.0125683690032583,0.004516473052297,0.0004672766197946,0.0308630635871513,0.0003977079196717,0.045894147739716
increasing,0.1013617348235479,0.0588315943428443,0.0518841167990803,0.2181586487019771,0.0339102399230125,0.1950755339187794
periodic,0.0921964468657406,0.0403184006354142,0.0291413650766986,0.0362700075659571,0.0299196775080186,0.042701440384988
random,0.0310299256853411,0.0069346387732148,0.0027911822423975,0.0028075604319365,0.0025914002660811,0.0030177534456839
