,arima,lstm,mlp,rf,svr,xgboost
decreasing,1.12913624703298,0.5961151139176313,0.0027781209273273,1.0850270510281856,0.0020521301043092,1.037558647721206
increasing,1.397327504268477,0.7612383024776882,0.6867654470215893,1.1236647557678543,0.2250068646301906,1.1322474201010533
periodic,2.085429054245239,0.3038497503799803,0.1199537989707336,0.2429355093590335,0.1192233451155466,0.3714834488377261
random,1.097146060628246,0.4094839192775274,0.0529846886617893,0.0511207186969361,0.0445436496360856,0.05659033375033
