,10,20,30,40,50,60
arima,0.0156281914959781,0.0156281914959781,0.0156281914959781,0.0156281914959781,0.0156281914959781,0.0156281914959781
lstm,0.0006655253409559,0.0008877992661528,0.0006135260552137,0.000528367740095,0.0008385111658212,0.0008958650136797
mlp,0.0003611626368044,0.000369119448265,0.0003715583396109,0.000368923947415,0.0003750338132811,0.0003756315256204
rf,0.0003869868117166,0.0003893735735516,0.0003968433243659,0.0004022599160617,0.0003990059046634,0.0004074876846462
svr,0.0003634365915098,0.0003634282115424,0.0003621101039034,0.0003623211568725,0.0003666147112493,0.0003660014555553
xgboost,0.0003900963121538,0.0003914665263875,0.0004284157868778,0.0004048441044667,0.0004445126725743,0.0004253638099298
