,10,20,30,40,50,60
arima,0.8529232027500012,0.8529232027500012,0.8529232027500012,0.8529232027500012,0.8529232027500012,0.8529232027500012
lstm,0.34048855613834,0.1401457175552186,0.0778490110662059,0.0805089310509455,0.225568334771001,0.0353916343259909
mlp,0.0275359313620308,0.0167158065795374,0.0211951413399992,0.0188740491724104,0.0171947030065525,0.018976557879901
rf,0.0157626227417006,0.0151334256551647,0.0150177724583348,0.0149460420709276,0.0148272464636682,0.0149806923884795
svr,0.045016204038957,0.0487911618261818,0.0494231915416998,0.0501764598975388,0.0505573050405912,0.0502680223792469
xgboost,0.2150192445194035,0.2150341960815838,0.2150668749515356,0.2151096091732089,0.2150726794085509,0.2150918441557465
