,10,20,30,40,50,60
arima,66.16971258201433,66.16971258201433,66.16971258201433,66.16971258201433,66.16971258201433,66.16971258201433
lstm,75.26098001296488,21.665785797344785,52.57895105743015,60.09413399909496,54.11566349690818,57.39302474857636
mlp,34.41437684246195,88.28270584922,94.44554831206553,64.57781308359903,52.09418212785037,49.965776605995394
rf,88.71838072710722,89.11395974863593,89.47650320005395,90.6641833935362,86.76260021830828,91.24654314396206
svr,43.37777172191701,60.86113367416455,68.21559635251643,31.270334699725687,75.59116326922118,89.40495131279707
xgboost,85.24912217519301,83.77209447144821,83.77209447144821,83.77209447144821,83.77209447144821,83.77209447144821
