Workload,arima,lstm,mlp,rf,svr,xgboost,static_mean_homogeneous,static_median_homogeneous,dynamic_selection_homogeneous,dynamic_weighting_homogeneous,dynamic_weighting_with_selection_homogeneous,static_mean_heteregoneous,static_median_heterogeneous,dynamic_selection_heterogeneous,dynamic_weighting_heterogeneous,dynamic_weighting_with_selection_heterogeneous
decreasing,0.0237930283978757,0.0141284835414305,9.878388262254858e-05,0.1846643796165672,0.0001028371240428,0.1605440133273463,0.0001133311490341,9.956563331345692e-05,0.0053408633370289,0.0001156446871368,0.0001156446871368,0.0335741098960594,0.0185537987604803,0.0001029018023358,0.003387773493787,0.0032621399329383
increasing,0.0058592048903158,0.001216210743002,0.0011989943795039,0.0108228173853409,0.0012112086212862,0.01883294566705,0.0012059498239579,0.0012052608578346,0.00139075693756,0.0012055516554894,0.0012055516554894,0.0020589148427405,0.0012068432405103,0.0037502206652855,0.0019234777307626,0.0018960971173186
periodic,12.209385611231916,0.00043390311385,0.0003884787841168,0.0004352882642964,0.0003774887472516,0.0005189237819258,0.0003758184270403,0.0003755962799876,0.0003829755429895,0.0003756902423116,0.0003756902423116,0.3401699307356127,0.0003912428662706,0.0004317090792725,0.0018474025351363,0.0018032824039961
random,0.0156281914959781,0.000528367740095,0.0003611626368044,0.0003869868117166,0.0003621101039034,0.0003900963121538,0.0003596535562796,0.0003585878615862,0.0003691314217691,0.0003599432822831,0.0003599432822831,0.0007919406222834,0.0003678027140348,0.0003973185698721,0.0021793270441251,0.0022134309662874
