Workload,arima,lstm,mlp,rf,svr,xgboost,static_mean_homogeneous,static_median_homogeneous,dynamic_selection_homogeneous,dynamic_weighting_homogeneous,dynamic_weighting_with_selection_homogeneous,static_mean_heteregoneous,static_median_heterogeneous,dynamic_selection_heterogeneous,dynamic_weighting_heterogeneous,dynamic_weighting_with_selection_heterogeneous
decreasing,0.1594244416839813,0.064575343329335,0.008743585402457,0.3496731774794538,0.0056208230964353,0.3321428197663575,0.0125280262570307,0.0055237844132907,0.0181784040950545,0.0124804317052878,0.0124804317052878,0.1507127040719761,0.111080988333011,0.0056170553452898,0.0949262948094492,0.0938508195665267
increasing,0.0246554143363783,0.0195711294613444,0.0196170729551433,0.0280198849249105,0.0194078955448313,0.0425060484300538,0.0195673318245918,0.0195730409827614,0.019732679932019,0.0195628283408767,0.0195628283408767,0.0225027782587877,0.0209176659445942,0.0213573606218751,0.0212461281260933,0.0213040830200461
periodic,1.0890639167144818,0.0109950416101176,0.0235240251764665,0.0059461391962511,0.0053482184369681,0.0068526064395014,0.0053584569070053,0.0053713475866991,0.0055759824262515,0.0053442497860432,0.0053315938765683,0.1820472767774103,0.0064391072591527,0.005880996384976,0.0584880730610663,0.0587570423752926
random,0.6398507115289414,0.0326223797396927,0.0251959729998515,0.0251479730002827,0.0232085437751404,0.0269642927789795,0.0228139084452238,0.0227980229844547,0.0234166289780543,0.0228224462663055,0.022836319142712,0.108230546156727,0.0244314130313158,0.0264943615748596,0.0751426526887407,0.0764691816476064
